timestamp,pm25,completitud_observada,estacion,fuera_rango_valido,hora,dia_semana,mes,evaluable,particion
2024-01-03 09:00:00-03:00,3.0833333333333335,1.0,Curva de Maroñas,False,9,2,1,True,entrenamiento
2024-01-03 10:00:00-03:00,3.6166666666666667,1.0,Curva de Maroñas,False,10,2,1,True,entrenamiento
2024-01-03 11:00:00-03:00,3.1,0.9833333333333333,Curva de Maroñas,False,11,2,1,True,entrenamiento
2024-01-03 12:00:00-03:00,3.0,1.0,Curva de Maroñas,False,12,2,1,True,entrenamiento
2024-01-03 13:00:00-03:00,3.8333333333333335,1.0,Curva de Maroñas,False,13,2,1,True,entrenamiento
2024-01-03 14:00:00-03:00,3.8833333333333333,1.0,Curva de Maroñas,False,14,2,1,True,entrenamiento
2024-01-03 15:00:00-03:00,3.066666666666667,1.0,Curva de Maroñas,False,15,2,1,True,entrenamiento
2024-01-03 16:00:00-03:00,3.3,1.0,Curva de Maroñas,False,16,2,1,True,entrenamiento
2024-01-03 17:00:00-03:00,4.933333333333334,1.0,Curva de Maroñas,False,17,2,1,True,entrenamiento
2024-01-03 18:00:00-03:00,5.833333333333333,1.0,Curva de Maroñas,False,18,2,1,True,entrenamiento
2024-01-03 19:00:00-03:00,5.666666666666667,1.0,Curva de Maroñas,False,19,2,1,True,entrenamiento
2024-01-03 20:00:00-03:00,4.783333333333333,1.0,Curva de Maroñas,False,20,2,1,True,entrenamiento
2024-01-03 21:00:00-03:00,3.0,1.0,Curva de Maroñas,False,21,2,1,True,entrenamiento
2024-01-03 22:00:00-03:00,3.1166666666666667,1.0,Curva de Maroñas,False,22,2,1,True,entrenamiento
2024-01-03 23:00:00-03:00,5.35,1.0,Curva de Maroñas,False,23,2,1,True,entrenamiento
2024-01-04 00:00:00-03:00,5.333333333333333,1.0,Curva de Maroñas,False,0,3,1,True,entrenamiento
2024-01-04 01:00:00-03:00,3.05,1.0,Curva de Maroñas,False,1,3,1,True,entrenamiento
2024-01-04 02:00:00-03:00,4.583333333333333,1.0,Curva de Maroñas,False,2,3,1,True,entrenamiento
2024-01-04 03:00:00-03:00,5.666666666666667,1.0,Curva de Maroñas,False,3,3,1,True,entrenamiento
2024-01-04 04:00:00-03:00,4.166666666666667,1.0,Curva de Maroñas,False,4,3,1,True,entrenamiento
2024-01-04 05:00:00-03:00,4.6,1.0,Curva de Maroñas,False,5,3,1,True,entrenamiento
2024-01-04 06:00:00-03:00,3.0,1.0,Curva de Maroñas,False,6,3,1,True,entrenamiento
2024-01-04 07:00:00-03:00,3.0,1.0,Curva de Maroñas,False,7,3,1,True,entrenamiento
2024-01-04 08:00:00-03:00,3.0,1.0,Curva de Maroñas,False,8,3,1,True,entrenamiento
2024-01-04 09:00:00-03:00,3.2,1.0,Curva de Maroñas,False,9,3,1,True,entrenamiento
2024-01-04 10:00:00-03:00,3.0833333333333335,0.9666666666666667,Curva de Maroñas,False,10,3,1,True,entrenamiento
2024-01-04 11:00:00-03:00,3.05,1.0,Curva de Maroñas,False,11,3,1,True,entrenamiento
2024-01-04 12:00:00-03:00,3.5833333333333335,1.0,Curva de Maroñas,False,12,3,1,True,entrenamiento
2024-01-04 13:00:00-03:00,3.283333333333333,1.0,Curva de Maroñas,False,13,3,1,True,entrenamiento
2024-01-04 14:00:00-03:00,3.1666666666666665,1.0,Curva de Maroñas,False,14,3,1,True,entrenamiento
2024-01-04 15:00:00-03:00,4.566666666666666,1.0,Curva de Maroñas,False,15,3,1,True,entrenamiento
2024-01-04 16:00:00-03:00,5.8,1.0,Curva de Maroñas,False,16,3,1,True,entrenamiento
2024-01-04 17:00:00-03:00,6.1,1.0,Curva de Maroñas,False,17,3,1,True,entrenamiento
2024-01-04 18:00:00-03:00,7.116666666666666,1.0,Curva de Maroñas,False,18,3,1,True,entrenamiento
2024-01-04 19:00:00-03:00,10.366666666666667,1.0,Curva de Maroñas,False,19,3,1,True,entrenamiento
2024-01-04 20:00:00-03:00,15.816666666666666,1.0,Curva de Maroñas,False,20,3,1,True,entrenamiento
2024-01-04 21:00:00-03:00,15.266666666666667,1.0,Curva de Maroñas,False,21,3,1,True,entrenamiento
2024-01-04 22:00:00-03:00,8.6,1.0,Curva de Maroñas,False,22,3,1,True,entrenamiento
2024-01-04 23:00:00-03:00,9.816666666666666,1.0,Curva de Maroñas,False,23,3,1,True,entrenamiento
2024-01-05 00:00:00-03:00,4.516666666666667,1.0,Curva de Maroñas,False,0,4,1,True,entrenamiento
2024-01-05 01:00:00-03:00,12.516666666666667,1.0,Curva de Maroñas,False,1,4,1,True,entrenamiento
2024-01-05 02:00:00-03:00,11.216666666666667,1.0,Curva de Maroñas,False,2,4,1,True,entrenamiento
2024-01-05 03:00:00-03:00,10.133333333333333,1.0,Curva de Maroñas,False,3,4,1,True,entrenamiento
