validacion,horizonte,modelo,MAE,RMSE,n
temporal (Maroñas),21,persistencia,9.1578029887007,19.701895803328668,3455
temporal (Maroñas),22,SGD,8.311163165505706,15.84844932990603,3454
temporal (Maroñas),22,persistencia,9.137954795335238,19.660329629101682,3454
temporal (Maroñas),23,SGD,9.102817231660211,16.244967910453116,3453
temporal (Maroñas),23,persistencia,9.117883081759627,19.617807392186172,3453
temporal (Maroñas),24,SGD,9.02387815040751,16.27987380010605,3452
temporal (Maroñas),24,persistencia,9.100238291032781,19.584413822318766,3452
espacial (Museo Romántico),1,SGD,4.907613393121072,9.230449688429292,3402
espacial (Museo Romántico),1,persistencia,6.205006122327262,15.352261340785532,3402
espacial (Museo Romántico),2,SGD,4.701917713784424,10.325732959129713,3401
espacial (Museo Romántico),2,persistencia,6.203351218707445,15.353177407872874,3401
espacial (Museo Romántico),3,SGD,6.606538794234428,11.173272855632252,3400
espacial (Museo Romántico),3,persistencia,6.203362008281572,15.355070866182372,3400
espacial (Museo Romántico),4,SGD,7.2937037162880785,11.770752139913574,3399
espacial (Museo Romántico),4,persistencia,6.202431350835742,15.356489064797119,3399
espacial (Museo Romántico),5,SGD,7.490819834803108,12.107984990070777,3398
espacial (Museo Romántico),5,persistencia,6.201598242541893,15.35796673091949,3398
espacial (Museo Romántico),6,SGD,7.86129082985175,12.448337270239229,3397
espacial (Museo Romántico),6,persistencia,6.199577321604559,15.358590909339048,3397
espacial (Museo Romántico),7,SGD,8.259389053198559,12.619844443605713,3396
espacial (Museo Romántico),7,persistencia,6.20033298826777,15.360725487847711,3396
espacial (Museo Romántico),8,SGD,8.44435595270702,12.708982351850226,3395
espacial (Museo Romántico),8,persistencia,6.201049826654104,15.362851568350486,3395
espacial (Museo Romántico),9,SGD,8.616411052825757,12.801451092423438,3394
espacial (Museo Romántico),9,persistencia,6.201776908708706,15.364981004239755,3394
espacial (Museo Romántico),10,SGD,8.565286484303343,12.75402009952877,3393
espacial (Museo Romántico),10,persistencia,6.202524067636512,15.367116130780447,3393
espacial (Museo Romántico),11,SGD,8.58490227501533,12.745004150859947,3392
espacial (Museo Romántico),11,persistencia,6.203591046036954,15.369317157918037,3392
espacial (Museo Romántico),12,SGD,8.569330361374586,12.772978779577294,3391
espacial (Museo Romántico),12,persistencia,6.205204215518731,15.371578024776133,3391
espacial (Museo Romántico),13,SGD,8.822762806653275,12.886806849306039,3390
espacial (Museo Romántico),13,persistencia,6.20700516071505,15.373844956065126,3390
espacial (Museo Romántico),14,SGD,8.572792935894897,12.760782325913354,3389
espacial (Museo Romántico),14,persistencia,6.208797332986333,15.376112816028227,3389
espacial (Museo Romántico),15,SGD,8.854358259812141,12.87974517215813,3388
espacial (Museo Romántico),15,persistencia,6.2106299177953606,15.378381850618315,3388
espacial (Museo Romántico),16,SGD,8.508541422284463,12.75897009209111,3387
espacial (Museo Romántico),16,persistencia,6.212463584733003,15.38065189002113,3387
espacial (Museo Romántico),17,SGD,8.113258987341789,12.592683359533522,3386
espacial (Museo Romántico),17,persistencia,6.214298334758028,15.38292293497851,3386
espacial (Museo Romántico),18,SGD,8.027144309184989,12.526020522775418,3385
espacial (Museo Romántico),18,persistencia,6.216134168830335,15.385194986233053,3385
