corte,horizonte,modelo,MAE,RMSE,n
2,22,SGD,12.12699605240599,23.53453800449289,1650
2,22,persistencia,14.675045454545455,29.246158741090646,1650
2,23,SGD,12.400555352769954,24.153456158849966,1650
2,23,persistencia,14.770237373737373,29.513408727420263,1650
2,24,SGD,12.934979864333258,24.682203445842408,1650
2,24,persistencia,14.852833333333333,29.708687376835204,1650
3,1,SGD,9.76277981255678,20.34022990410501,2182
3,1,persistencia,16.622393825566032,32.75661559642245,2182
3,2,SGD,11.792083695255139,23.681557030476377,2182
3,2,persistencia,16.62446379195772,32.756860465730256,2182
3,3,SGD,12.714092338713336,25.475251074428066,2182
3,3,persistencia,16.630765350161205,32.7581830081679,2182
3,4,SGD,13.583052681170937,26.2398640555485,2182
3,4,persistencia,16.63142223986484,32.75819737925957,2182
3,5,SGD,14.07370509229671,26.832869490089063,2182
3,5,persistencia,16.63492055944932,32.75860496690943,2182
3,6,SGD,14.244049874621972,27.06774914038988,2182
3,6,persistencia,16.635661469929,32.758625887885024,2182
3,7,SGD,14.27002518109255,27.218097841054572,2182
3,7,persistencia,16.641008246586505,32.759577975355775,2182
3,8,SGD,14.20292762643534,27.280880843151316,2182
3,8,persistencia,16.643399019577643,32.7597841413953,2182
3,9,SGD,14.16668313911836,27.418853934655203,2182
3,9,persistencia,16.64404827102891,32.75982889825897,2182
3,10,SGD,14.293849466937715,27.361150226074606,2182
3,10,persistencia,16.6491124323488,32.76108487313342,2182
3,11,SGD,14.337891199187037,27.371781621898336,2182
3,11,persistencia,16.648959667301444,32.76107453680777,2182
3,12,SGD,14.390064481596902,27.509200018571732,2182
3,12,persistencia,16.64882981701119,32.761064859128496,2182
3,13,SGD,14.6892404102825,27.532014337896562,2182
3,13,persistencia,16.648218756821763,32.761051802708636,2182
3,14,SGD,14.785254667226944,27.486805968269962,2182
3,14,persistencia,16.647760461679685,32.76102592300389,2182
3,15,SGD,14.397888931819514,27.45617865569278,2182
3,15,persistencia,16.646217534701382,32.760905041974105,2182
3,16,SGD,14.43671973259728,27.32423415254813,2182
3,16,persistencia,16.645881451597198,32.76089837384208,2182
3,17,SGD,14.221612008573755,27.130327897696723,2182
3,17,persistencia,16.645491900726434,32.76088955488568,2182
3,18,SGD,14.307170388476239,26.92405146110039,2182
3,18,persistencia,16.644132291804958,32.76081761978003,2182
3,19,SGD,14.103819977382642,26.455784522506175,2182
3,19,persistencia,16.643353190063433,32.760757769589574,2182
3,20,SGD,13.94400641982908,26.269148088794463,2182
3,20,persistencia,16.635531619638748,32.75408407895089,2182
3,21,SGD,13.799548967804167,25.895623789076435,2182
3,21,persistencia,16.60592575346093,32.71718486011402,2182
3,22,SGD,13.676780116247551,25.71494308744102,2182
3,22,persistencia,16.55373357503135,32.613208568741975,2182
3,23,SGD,13.561681590367963,25.58959604806998,2182
3,23,persistencia,16.48007026919573,32.43053317349221,2182
3,24,SGD,13.563450911740997,25.552852153157183,2182
3,24,persistencia,16.42111059916823,32.29603824987545,2182
4,1,SGD,5.793078924888969,10.008921946890235,2182
4,1,persistencia,6.62210252093072,13.558218501039843,2182
4,2,SGD,6.535116420114027,11.391050712260862,2182
4,2,persistencia,6.6221656518021295,13.558247380235807,2182
4,3,SGD,7.606093958806084,11.74070079768022,2182
4,3,persistencia,6.636045824637598,13.587794491622146,2182
4,4,SGD,8.463083435703831,12.08768529679072,2182
4,4,persistencia,6.65796088239466,13.62860707925796,2182
4,5,SGD,8.898582880773873,12.242665848300248,2182
4,5,persistencia,6.678928240288712,13.675463628573194,2182
4,6,SGD,8.992975021083405,12.266183589437773,2182
4,6,persistencia,6.704607843324336,13.731213731881677,2182
4,7,SGD,9.16522330310932,12.192074177762871,2182
4,7,persistencia,6.726360828073488,13.787179040421456,2182
4,8,SGD,9.129282439656226,12.284288985997001,2182
4,8,persistencia,6.752016403213217,13.849234906695354,2182
4,9,SGD,9.496009382045981,12.285985597188436,2182
4,9,persistencia,6.779443496332896,13.914217230236012,2182
4,10,SGD,9.122095660612638,12.081919636157481,2182
4,10,persistencia,6.801477426711472,13.973772415829254,2182
4,11,SGD,9.585666844795883,12.304894258966462,2182
4,11,persistencia,6.828941597954199,14.036550827156878,2182
4,12,SGD,9.535167535140838,12.275678562834292,2182
4,12,persistencia,6.857520397473238,14.104551225096094,2182
4,13,SGD,9.383916028925823,12.204751060452214,2182
4,13,persistencia,6.887229101773325,14.172727139060534,2182
4,14,SGD,9.474330151398961,12.246122497597494,2182
4,14,persistencia,6.916776846204292,14.242577381384184,2182
4,15,SGD,9.281488962678846,12.173924603378538,2182
4,15,persistencia,6.947485048425778,14.316524502816828,2182
4,16,SGD,9.176987327285385,12.165095742659911,2182
4,16,persistencia,6.980201554450614,14.398505478820129,2182
4,17,SGD,9.019531445798178,12.185111069161392,2182
4,17,persistencia,7.014422239622525,14.487714649831203,2182
4,18,SGD,8.623293888309142,12.048932352214276,2182
4,18,persistencia,7.050116550932036,14.58395604466784,2182
4,19,SGD,8.577875818594908,11.857209514586208,2182
4,19,persistencia,7.086589407413674,14.687273321697369,2182
4,20,SGD,7.947559216730526,11.576378027706546,2182
4,20,persistencia,7.115744261557508,14.788606757922091,2182
4,21,SGD,7.337366426237724,11.36641177913451,2182
4,21,persistencia,7.148457984735368,14.886039522361704,2182
4,22,SGD,7.954466757132111,11.403229838045716,2182
4,22,persistencia,7.180346220088105,14.97770594927744,2182
4,23,SGD,7.466439828427939,11.355200238827972,2182
4,23,persistencia,7.216167598840893,15.071557775817407,2182
4,24,SGD,7.488246184055795,11.167039118234666,2182
4,24,persistencia,7.243907150019092,15.144567227644544,2182
